origin_index,origin_utc,horizon_days,window_end_exclusive_utc,magnitude_threshold,primary,numerical_check
24,2007-06-18T00:00:00Z,7,2007-06-25T00:00:00Z,4.5,1,0
24,2007-06-18T00:00:00Z,7,2007-06-25T00:00:00Z,5.5,0,0
24,2007-06-18T00:00:00Z,30,2007-07-18T00:00:00Z,3.5,0,0
24,2007-06-18T00:00:00Z,30,2007-07-18T00:00:00Z,4.5,0,0
24,2007-06-18T00:00:00Z,30,2007-07-18T00:00:00Z,5.5,0,0
25,2007-06-25T00:00:00Z,1,2007-06-26T00:00:00Z,3.5,0,0
25,2007-06-25T00:00:00Z,1,2007-06-26T00:00:00Z,4.5,0,0
25,2007-06-25T00:00:00Z,1,2007-06-26T00:00:00Z,5.5,0,0
25,2007-06-25T00:00:00Z,7,2007-07-02T00:00:00Z,3.5,0,0
25,2007-06-25T00:00:00Z,7,2007-07-02T00:00:00Z,4.5,1,0
25,2007-06-25T00:00:00Z,7,2007-07-02T00:00:00Z,5.5,0,0
25,2007-06-25T00:00:00Z,30,2007-07-25T00:00:00Z,3.5,0,0
25,2007-06-25T00:00:00Z,30,2007-07-25T00:00:00Z,4.5,0,0
25,2007-06-25T00:00:00Z,30,2007-07-25T00:00:00Z,5.5,0,0
26,2007-07-02T00:00:00Z,1,2007-07-03T00:00:00Z,3.5,0,0
26,2007-07-02T00:00:00Z,1,2007-07-03T00:00:00Z,4.5,0,0
26,2007-07-02T00:00:00Z,1,2007-07-03T00:00:00Z,5.5,0,0
26,2007-07-02T00:00:00Z,7,2007-07-09T00:00:00Z,3.5,0,0
26,2007-07-02T00:00:00Z,7,2007-07-09T00:00:00Z,4.5,1,0
26,2007-07-02T00:00:00Z,7,2007-07-09T00:00:00Z,5.5,0,0
26,2007-07-02T00:00:00Z,30,2007-08-01T00:00:00Z,3.5,0,0
26,2007-07-02T00:00:00Z,30,2007-08-01T00:00:00Z,4.5,0,0
26,2007-07-02T00:00:00Z,30,2007-08-01T00:00:00Z,5.5,0,0
27,2007-07-09T00:00:00Z,1,2007-07-10T00:00:00Z,3.5,0,0
27,2007-07-09T00:00:00Z,1,2007-07-10T00:00:00Z,4.5,0,0
27,2007-07-09T00:00:00Z,1,2007-07-10T00:00:00Z,5.5,0,0
27,2007-07-09T00:00:00Z,7,2007-07-16T00:00:00Z,3.5,0,0
27,2007-07-09T00:00:00Z,7,2007-07-16T00:00:00Z,4.5,1,0
27,2007-07-09T00:00:00Z,7,2007-07-16T00:00:00Z,5.5,0,0
27,2007-07-09T00:00:00Z,30,2007-08-08T00:00:00Z,3.5,0,0
27,2007-07-09T00:00:00Z,30,2007-08-08T00:00:00Z,4.5,0,0
27,2007-07-09T00:00:00Z,30,2007-08-08T00:00:00Z,5.5,0,0
28,2007-07-16T00:00:00Z,1,2007-07-17T00:00:00Z,3.5,0,0
28,2007-07-16T00:00:00Z,1,2007-07-17T00:00:00Z,4.5,0,0
28,2007-07-16T00:00:00Z,1,2007-07-17T00:00:00Z,5.5,0,0
28,2007-07-16T00:00:00Z,7,2007-07-23T00:00:00Z,3.5,0,0
28,2007-07-16T00:00:00Z,7,2007-07-23T00:00:00Z,4.5,1,0
28,2007-07-16T00:00:00Z,7,2007-07-23T00:00:00Z,5.5,0,0
28,2007-07-16T00:00:00Z,30,2007-08-15T00:00:00Z,3.5,0,0
28,2007-07-16T00:00:00Z,30,2007-08-15T00:00:00Z,4.5,0,0
28,2007-07-16T00:00:00Z,30,2007-08-15T00:00:00Z,5.5,0,0
29,2007-07-23T00:00:00Z,1,2007-07-24T00:00:00Z,3.5,0,0
29,2007-07-23T00:00:00Z,1,2007-07-24T00:00:00Z,4.5,0,0
29,2007-07-23T00:00:00Z,1,2007-07-24T00:00:00Z,5.5,0,0
29,2007-07-23T00:00:00Z,7,2007-07-30T00:00:00Z,3.5,0,0
29,2007-07-23T00:00:00Z,7,2007-07-30T00:00:00Z,4.5,1,0
29,2007-07-23T00:00:00Z,7,2007-07-30T00:00:00Z,5.5,0,0
29,2007-07-23T00:00:00Z,30,2007-08-22T00:00:00Z,3.5,0,0
29,2007-07-23T00:00:00Z,30,2007-08-22T00:00:00Z,4.5,0,0
29,2007-07-23T00:00:00Z,30,2007-08-22T00:00:00Z,5.5,0,0
30,2007-07-30T00:00:00Z,1,2007-07-31T00:00:00Z,3.5,0,0
30,2007-07-30T00:00:00Z,1,2007-07-31T00:00:00Z,4.5,0,0
30,2007-07-30T00:00:00Z,1,2007-07-31T00:00:00Z,5.5,0,0
30,2007-07-30T00:00:00Z,7,2007-08-06T00:00:00Z,3.5,0,0
30,2007-07-30T00:00:00Z,7,2007-08-06T00:00:00Z,4.5,1,0
30,2007-07-30T00:00:00Z,7,2007-08-06T00:00:00Z,5.5,0,0
30,2007-07-30T00:00:00Z,30,2007-08-29T00:00:00Z,3.5,0,0
30,2007-07-30T00:00:00Z,30,2007-08-29T00:00:00Z,4.5,0,0
30,2007-07-30T00:00:00Z,30,2007-08-29T00:00:00Z,5.5,0,0
31,2007-08-06T00:00:00Z,1,2007-08-07T00:00:00Z,3.5,0,0
31,2007-08-06T00:00:00Z,1,2007-08-07T00:00:00Z,4.5,0,0
31,2007-08-06T00:00:00Z,1,2007-08-07T00:00:00Z,5.5,0,0
31,2007-08-06T00:00:00Z,7,2007-08-13T00:00:00Z,3.5,0,0
31,2007-08-06T00:00:00Z,7,2007-08-13T00:00:00Z,4.5,1,0
31,2007-08-06T00:00:00Z,7,2007-08-13T00:00:00Z,5.5,0,0
31,2007-08-06T00:00:00Z,30,2007-09-05T00:00:00Z,3.5,0,0
31,2007-08-06T00:00:00Z,30,2007-09-05T00:00:00Z,4.5,0,0
31,2007-08-06T00:00:00Z,30,2007-09-05T00:00:00Z,5.5,0,0
32,2007-08-13T00:00:00Z,1,2007-08-14T00:00:00Z,3.5,0,0
32,2007-08-13T00:00:00Z,1,2007-08-14T00:00:00Z,4.5,0,0
32,2007-08-13T00:00:00Z,1,2007-08-14T00:00:00Z,5.5,0,0
32,2007-08-13T00:00:00Z,7,2007-08-20T00:00:00Z,3.5,0,0
32,2007-08-13T00:00:00Z,7,2007-08-20T00:00:00Z,4.5,1,0
32,2007-08-13T00:00:00Z,7,2007-08-20T00:00:00Z,5.5,0,0
32,2007-08-13T00:00:00Z,30,2007-09-12T00:00:00Z,3.5,0,0
32,2007-08-13T00:00:00Z,30,2007-09-12T00:00:00Z,4.5,0,0
32,2007-08-13T00:00:00Z,30,2007-09-12T00:00:00Z,5.5,0,0
33,2007-08-20T00:00:00Z,1,2007-08-21T00:00:00Z,3.5,0,0
33,2007-08-20T00:00:00Z,1,2007-08-21T00:00:00Z,4.5,0,0
33,2007-08-20T00:00:00Z,1,2007-08-21T00:00:00Z,5.5,0,0
33,2007-08-20T00:00:00Z,7,2007-08-27T00:00:00Z,3.5,0,0
33,2007-08-20T00:00:00Z,7,2007-08-27T00:00:00Z,4.5,1,0
33,2007-08-20T00:00:00Z,7,2007-08-27T00:00:00Z,5.5,0,0
33,2007-08-20T00:00:00Z,30,2007-09-19T00:00:00Z,3.5,0,0
33,2007-08-20T00:00:00Z,30,2007-09-19T00:00:00Z,4.5,0,0
33,2007-08-20T00:00:00Z,30,2007-09-19T00:00:00Z,5.5,0,0
34,2007-08-27T00:00:00Z,1,2007-08-28T00:00:00Z,3.5,0,0
34,2007-08-27T00:00:00Z,1,2007-08-28T00:00:00Z,4.5,0,0
34,2007-08-27T00:00:00Z,1,2007-08-28T00:00:00Z,5.5,0,0
34,2007-08-27T00:00:00Z,7,2007-09-03T00:00:00Z,3.5,0,0
34,2007-08-27T00:00:00Z,7,2007-09-03T00:00:00Z,4.5,1,0
34,2007-08-27T00:00:00Z,7,2007-09-03T00:00:00Z,5.5,0,0
34,2007-08-27T00:00:00Z,30,2007-09-26T00:00:00Z,3.5,0,0
34,2007-08-27T00:00:00Z,30,2007-09-26T00:00:00Z,4.5,0,0
34,2007-08-27T00:00:00Z,30,2007-09-26T00:00:00Z,5.5,0,0
35,2007-09-03T00:00:00Z,1,2007-09-04T00:00:00Z,3.5,0,0
35,2007-09-03T00:00:00Z,1,2007-09-04T00:00:00Z,4.5,0,0
35,2007-09-03T00:00:00Z,1,2007-09-04T00:00:00Z,5.5,0,0
35,2007-09-03T00:00:00Z,7,2007-09-10T00:00:00Z,3.5,0,0
35,2007-09-03T00:00:00Z,7,2007-09-10T00:00:00Z,4.5,1,0
35,2007-09-03T00:00:00Z,7,2007-09-10T00:00:00Z,5.5,0,0
35,2007-09-03T00:00:00Z,30,2007-10-03T00:00:00Z,3.5,0,0
35,2007-09-03T00:00:00Z,30,2007-10-03T00:00:00Z,4.5,0,0
35,2007-09-03T00:00:00Z,30,2007-10-03T00:00:00Z,5.5,0,0
36,2007-09-10T00:00:00Z,1,2007-09-11T00:00:00Z,3.5,0,0
36,2007-09-10T00:00:00Z,1,2007-09-11T00:00:00Z,4.5,0,0
36,2007-09-10T00:00:00Z,1,2007-09-11T00:00:00Z,5.5,0,0
36,2007-09-10T00:00:00Z,7,2007-09-17T00:00:00Z,3.5,0,0
36,2007-09-10T00:00:00Z,7,2007-09-17T00:00:00Z,4.5,1,0
